"slug","repo","title","html_url","created_at","updated_at","comments","labels"
"browser-use","browser-use/browser-use","Feature Request: Too strict dependency version pinning (`==`) causes dependency conflicts in complex projects","https://github.com/browser-use/browser-use/issues/4824","5/12/2026 2:17:52 PM","5/15/2026 6:08:36 PM","7","enhancement"
"crawl4ai","unclecode/crawl4ai","[Bug] AsyncLogger writes to stdout, breaking MCP stdio transport","https://github.com/unclecode/crawl4ai/issues/1968","5/13/2026 6:51:48 PM","5/13/2026 6:51:48 PM","0",""
"crawl4ai","unclecode/crawl4ai","[Bug] MCP Server json.dumps() escapes non-ASCII characters, causing 2.5-3x token overhead for CJK content","https://github.com/unclecode/crawl4ai/issues/1962","5/10/2026 2:45:27 PM","5/13/2026 8:48:16 AM","1","🐞 Bug|⚙️ In-progress"
"crawl4ai","unclecode/crawl4ai","[Bug]: MCP scrape tools lack wait_until / SPA support that REST API and CLI provide","https://github.com/unclecode/crawl4ai/issues/1963","5/11/2026 6:12:18 AM","5/12/2026 4:07:44 PM","1","🐞 Bug|⚙️ In-progress|📌 Root caused"
"crawl4ai","unclecode/crawl4ai","[Bug]: Markdown export loses heading hierarchy and table structure","https://github.com/unclecode/crawl4ai/issues/1964","5/11/2026 6:22:06 AM","5/11/2026 6:22:06 AM","0","🐞 Bug|🩺 Needs Triage"
"crawl4ai","unclecode/crawl4ai","[Bug]: enable_stealth=True is a silent no-op — StealthAdapter imports symbols that don't exist in playwright-stealth 2.x","https://github.com/unclecode/crawl4ai/issues/1959","5/7/2026 8:58:35 AM","5/7/2026 8:58:35 AM","0",""
"crawl4ai","unclecode/crawl4ai","[Bug]: After successful FETCH, and failed SCRAPE (COMPLETE being marked as failed), no error messages or failure reason is shown","https://github.com/unclecode/crawl4ai/issues/1949","4/30/2026 10:16:29 AM","5/5/2026 3:16:08 PM","2","🐞 Bug|⚙ Done"
"crawl4ai","unclecode/crawl4ai","[Bug]: arun() and arun_many() type hinting needs fixing","https://github.com/unclecode/crawl4ai/issues/1898","4/5/2026 7:56:01 AM","5/5/2026 6:42:11 AM","6","🐞 Bug|⚙ Done"
